grammar_family,regime,fate,classification,count,avg_score
cross_asset,calm,time_expired,MITIGATE,10,0.7126
reversion,calm,time_expired,MITIGATE,5,0.611
unwind,active,proximity_miss,ACCEPT,423,0.6531
unwind,calm,proximity_miss,ACCEPT,204,0.6396
cross_asset,active,proximity_miss,ACCEPT,197,0.6488
momentum,active,proximity_miss,ACCEPT,191,0.6501
null,active,proximity_miss,ACCEPT,180,0.6628
reversion,active,proximity_miss,ACCEPT,167,0.6683
unwind,mixed,proximity_miss,ACCEPT,136,0.6643
reversion,calm,proximity_miss,ACCEPT,105,0.6555
cross_asset,calm,proximity_miss,ACCEPT,95,0.599
momentum,calm,proximity_miss,ACCEPT,91,0.6224
null,calm,proximity_miss,ACCEPT,83,0.6236
null,mixed,proximity_miss,ACCEPT,74,0.6641
momentum,mixed,proximity_miss,ACCEPT,62,0.6586
reversion,mixed,proximity_miss,ACCEPT,57,0.6822
cross_asset,mixed,proximity_miss,ACCEPT,46,0.681
momentum,sparse,proximity_miss,ACCEPT,36,0.579
unwind,sparse,proximity_miss,ACCEPT,35,0.6366
cross_asset,mixed,time_expired,ACCEPT,23,0.6251
reversion,sparse,proximity_miss,ACCEPT,22,0.6845
unwind,mixed,time_expired,ACCEPT,21,0.6564
null,sparse,proximity_miss,ACCEPT,20,0.6011
unwind,sparse,time_expired,ACCEPT,17,0.5802
momentum,mixed,time_expired,ACCEPT,16,0.6007
reversion,sparse,time_expired,ACCEPT,16,0.6613
cross_asset,sparse,proximity_miss,ACCEPT,15,0.504
null,calm,time_expired,ACCEPT,14,0.7054
reversion,mixed,time_expired,ACCEPT,14,0.6877
cross_asset,sparse,time_expired,ACCEPT,12,0.6445
null,mixed,time_expired,ACCEPT,8,0.7488
null,sparse,time_expired,ACCEPT,5,0.6799
