t,pool_baseline,pool_extended
30.0,0,0
45.0,0,0
60.0,0,0
90.0,0,0
120.0,0,0
135.0,0,0
150.0,0,0
180.0,2,2
210.0,2,2
225.0,2,2
240.0,2,2
270.0,2,2
300.0,2,2
315.0,4,4
330.0,4,4
360.0,4,4
390.0,4,4
405.0,4,4
420.0,5,5
450.0,5,5
480.0,5,5
495.0,5,5
510.0,7,7
540.0,9,9
570.0,9,9
585.0,10,10
600.0,18,18
630.0,14,14
660.0,17,17
675.0,15,15
690.0,24,24
720.0,25,25
750.0,27,27
765.0,28,28
780.0,29,29
810.0,29,29
840.0,36,36
855.0,36,36
870.0,36,36
900.0,45,45
930.0,54,54
945.0,54,54
960.0,54,54
990.0,52,52
1020.0,53,53
1035.0,49,49
1050.0,53,53
1080.0,52,52
1110.0,53,53
1125.0,48,48
1140.0,48,48
1170.0,46,46
1200.0,47,47
1215.0,38,38
1230.0,41,41
1260.0,37,37
1290.0,40,40
1305.0,37,37
1320.0,39,39
1350.0,32,32
1380.0,34,34
1395.0,27,27
1410.0,29,29
1440.0,21,21
1470.0,25,25
1485.0,24,24
1500.0,25,25
1530.0,29,29
1560.0,38,38
1575.0,35,35
1590.0,39,39
1620.0,39,39
1650.0,40,40
1665.0,40,40
1680.0,40,40
1710.0,40,40
1740.0,48,48
1755.0,45,45
1770.0,53,53
1800.0,50,50
1830.0,50,50
1845.0,49,49
1860.0,50,50
1890.0,49,49
1920.0,53,53
1935.0,51,51
1950.0,53,53
1980.0,47,47
2010.0,47,47
2025.0,41,41
2040.0,44,44
2070.0,33,33
2100.0,34,34
2115.0,29,29
2130.0,30,30
2160.0,30,30
2190.0,30,30
2205.0,28,28
2220.0,28,28
2250.0,19,19
2280.0,21,21
2295.0,13,13
2310.0,13,13
2340.0,11,11
2370.0,13,13
2385.0,12,12
2400.0,15,15
2430.0,14,14
2460.0,14,14
2475.0,12,12
2490.0,12,12
2520.0,14,14
2550.0,15,15
2565.0,23,23
2580.0,24,24
2610.0,29,29
2640.0,31,31
2655.0,31,31
2670.0,31,31
2700.0,31,31
2730.0,34,34
2745.0,34,34
2760.0,36,36
2790.0,37,37
2820.0,42,42
2835.0,42,42
2850.0,48,48
2880.0,52,52
2910.0,67,67
2925.0,62,62
2940.0,67,67
2970.0,68,68
3000.0,68,68
3015.0,66,66
3030.0,66,66
3060.0,63,63
3090.0,67,67
3105.0,59,59
3120.0,60,60
3150.0,60,60
3180.0,60,60
3195.0,59,59
3210.0,59,59
3240.0,59,59
3270.0,62,62
3285.0,62,62
3300.0,63,63
3330.0,73,73
3360.0,75,75
3375.0,73,76
3390.0,74,77
3420.0,71,78
3450.0,75,82
3465.0,70,80
3480.0,75,85
3510.0,89,99
3540.0,104,114
3555.0,108,120
3570.0,116,128
3600.0,118,130
3630.0,120,132
3645.0,117,123
3660.0,123,129
3690.0,121,126
3720.0,130,135
3735.0,126,130
3750.0,141,145
