label,seed,reviews_per_day,missed_critical,avg_fresh_per_push,avg_cards_per_push,stale_rate,operator_burden,T1_frac,T2_frac,T3_frac,s2_suppressions,total_suppressed,t3_lookahead
run031_variant_a_day1,1000,18.0,0,18.5,25.5,0.296,459.0,1.0,0.833,0.0,0,11,5.0
run031_variant_a_day2,1001,18.0,0,14.5,21.83,0.253,393.0,1.0,0.667,0.0,0,11,5.0
run031_variant_a_day3,1002,21.0,0,18.43,24.29,0.275,510.0,1.0,0.857,0.0,0,10,5.0
run031_variant_a_day4,1003,21.0,0,18.43,22.0,0.328,462.0,1.0,0.857,0.0,0,10,5.0
run031_variant_a_day5,1004,27.0,0,17.11,27.0,0.323,729.0,1.0,0.778,0.0,0,8,5.0
run029b_baseline_day1,1000,18.0,0,18.5,25.5,0.296,459.0,1.0,0.833,0.0,0,11,10.0
run029b_baseline_day2,1001,18.0,0,14.5,21.83,0.253,393.0,1.0,0.667,0.0,0,11,10.0
run029b_baseline_day3,1002,21.0,0,18.43,24.29,0.275,510.0,1.0,0.857,0.0,0,10,10.0
run029b_baseline_day4,1003,21.0,0,18.43,22.0,0.328,462.0,1.0,0.857,0.0,0,10,10.0
run029b_baseline_day5,1004,27.0,0,17.11,27.0,0.323,729.0,1.0,0.778,0.0,0,8,10.0
run030_variant_a_single,999,18.0,0,18.5,25.0,0.136,450.0,1.0,0.833,0.0,0,11,5.0
