t,pool_w120,pool_w240
30.0,0,0
45.0,0,0
60.0,0,0
90.0,0,0
120.0,3,3
135.0,3,3
150.0,3,3
180.0,1,1
210.0,5,5
225.0,5,5
240.0,5,5
270.0,7,7
300.0,14,14
315.0,14,14
330.0,14,14
360.0,10,10
390.0,10,10
405.0,10,10
420.0,10,10
450.0,10,7
480.0,10,7
495.0,10,7
510.0,10,7
540.0,10,6
570.0,10,6
585.0,10,6
600.0,10,6
630.0,9,5
660.0,9,5
675.0,9,5
690.0,9,5
720.0,7,5
750.0,7,5
765.0,4,2
780.0,4,2
810.0,0,0
840.0,0,0
855.0,0,0
870.0,0,0
900.0,0,0
930.0,0,0
945.0,0,0
960.0,0,0
990.0,0,0
1020.0,0,0
1035.0,0,0
1050.0,0,0
1080.0,0,0
1110.0,0,0
1125.0,0,0
1140.0,0,0
1170.0,0,0
1200.0,0,0
1215.0,0,0
1230.0,0,0
1260.0,0,0
1290.0,0,0
1305.0,0,0
1320.0,0,0
1350.0,0,0
1380.0,0,0
1395.0,0,0
1410.0,0,0
1440.0,0,0
1470.0,0,0
1485.0,0,0
1500.0,0,0
1530.0,0,0
1560.0,0,0
1575.0,0,0
1590.0,0,0
1620.0,0,0
1650.0,0,0
1665.0,0,0
1680.0,0,0
1710.0,0,0
1740.0,0,0
1755.0,0,0
1770.0,0,0
1800.0,0,0
1830.0,0,0
1845.0,0,0
1860.0,0,0
1890.0,0,0
1920.0,0,0
1935.0,0,0
1950.0,0,0
1980.0,0,0
2010.0,0,0
2025.0,0,0
2040.0,0,0
2070.0,0,0
2100.0,0,0
2115.0,0,0
2130.0,0,0
2160.0,0,0
2190.0,0,0
2205.0,0,0
2220.0,0,0
2250.0,0,0
2280.0,0,0
2295.0,0,0
2310.0,0,0
2340.0,0,0
2370.0,0,0
2385.0,0,0
2400.0,0,0
2430.0,0,0
2460.0,0,0
2475.0,0,0
2490.0,0,0
2520.0,0,0
2550.0,0,0
2565.0,0,0
2580.0,0,0
2610.0,0,0
2640.0,0,0
2655.0,0,0
2670.0,0,0
2700.0,0,0
2730.0,0,0
2745.0,0,0
2760.0,0,0
2790.0,0,0
2820.0,0,0
2835.0,0,0
2850.0,0,0
2880.0,0,0
2910.0,0,0
2925.0,0,0
2940.0,0,0
2970.0,0,0
3000.0,0,0
3015.0,0,0
3030.0,0,0
3060.0,0,0
3090.0,0,0
3105.0,0,0
3120.0,0,0
3150.0,0,0
3180.0,0,0
3195.0,0,0
3210.0,0,0
3240.0,0,0
3270.0,0,0
3285.0,0,0
3300.0,0,0
3330.0,0,0
3360.0,0,0
3375.0,0,0
3390.0,0,0
3420.0,0,0
3450.0,0,0
3465.0,0,0
3480.0,0,0
3510.0,0,0
3540.0,0,0
3555.0,0,0
3570.0,0,0
3600.0,0,0
3630.0,0,0
3645.0,0,0
3660.0,0,0
3690.0,0,0
3720.0,0,0
3735.0,0,0
3750.0,0,0
