timestamp_min,regime_before,regime_after,knob_name,before_value,after_value
32.0,sparse,event-heavy,monitoring_budget_multiplier,1.3,1.0
32.0,sparse,event-heavy,batch_live_ratio,0.2,0.8
32.0,sparse,event-heavy,background_watch_density,thin,thick
32.0,sparse,event-heavy,family_weight_shift.positioning_unwind,0.0,-0.05
32.0,sparse,event-heavy,family_weight_shift.beta_reversion,0.0,0.05
64.0,event-heavy,calm,monitoring_budget_multiplier,1.0,0.8
64.0,event-heavy,calm,batch_live_ratio,0.8,0.5
64.0,event-heavy,calm,background_watch_density,thick,medium
64.0,event-heavy,calm,family_weight_shift.positioning_unwind,-0.05,0.0
64.0,event-heavy,calm,family_weight_shift.beta_reversion,0.05,0.0
80.0,calm,sparse,monitoring_budget_multiplier,0.8,1.3
80.0,calm,sparse,batch_live_ratio,0.5,0.2
80.0,calm,sparse,background_watch_density,medium,thin
112.0,sparse,calm,monitoring_budget_multiplier,1.3,0.8
112.0,sparse,calm,batch_live_ratio,0.2,0.5
112.0,sparse,calm,background_watch_density,thin,medium
