window,seed,regime,n_live_events,n_total_alerts,n_batch_supported,n_live_only,n_promotions,n_contradictions,n_suppressions,n_stale_from_prior,tier_actionable_watch,tier_research_priority,tier_monitor_borderline,tier_baseline_like,tier_reject_conflicted,family_flow_continuation,family_beta_reversion,family_positioning_unwind,family_baseline
0,42,calm,47,10,10,0,6,0,0,0,10,0,0,0,0,0,0,10,0
1,43,sparse,48,10,10,0,8,0,0,10,10,0,0,0,0,0,0,10,0
2,44,sparse,50,10,10,0,7,0,0,10,10,0,0,0,0,0,0,10,0
3,45,sparse,47,10,10,0,8,0,0,10,10,0,0,0,0,0,0,10,0
4,46,sparse,45,10,10,0,8,0,0,10,10,0,0,0,0,0,0,10,0
5,47,sparse,54,10,10,0,8,0,0,10,10,0,0,0,0,0,0,10,0
6,48,sparse,44,10,10,0,8,0,0,10,10,0,0,0,0,0,0,10,0
7,49,sparse,44,10,10,0,8,0,0,10,10,0,0,0,0,0,0,10,0
8,50,sparse,49,10,10,0,8,0,0,10,10,0,0,0,0,0,0,10,0
9,51,sparse,54,10,10,0,7,0,0,10,10,0,0,0,0,0,1,9,0
10,52,sparse,39,10,10,0,7,0,0,10,10,0,0,0,0,0,0,10,0
11,53,sparse,55,10,10,0,7,0,0,10,10,0,0,0,0,0,0,10,0
12,54,sparse,46,10,10,0,7,0,0,10,10,0,0,0,0,0,0,10,0
13,55,sparse,48,10,10,0,8,0,0,10,10,0,0,0,0,0,0,10,0
14,56,sparse,55,10,10,0,8,0,0,10,10,0,0,0,0,0,0,10,0
15,57,sparse,38,10,10,0,7,0,0,10,10,0,0,0,0,0,0,10,0
16,58,sparse,50,10,10,0,8,0,0,10,10,0,0,0,0,0,0,10,0
17,59,sparse,47,10,10,0,8,0,0,10,10,0,0,0,0,0,0,10,0
18,60,sparse,41,10,10,0,8,0,0,10,10,0,0,0,0,0,0,10,0
19,61,sparse,48,10,10,0,8,0,0,10,10,0,0,0,0,0,0,10,0
