card_id,title,branch,decision_tier,watch_label,composite_score,assets_mentioned,expected_events,outcome_result,time_to_outcome_min,half_life_min,half_life_remaining_min,outcome_type_match,matched_event,outcome_detail
0e0a5c6b-c4a8-4716-b6ce-7e617c1a2298,"E2 positioning unwind: (HYPE,BTC) — one-sided OI build + crowding",positioning_unwind,actionable_watch,positioning_unwind_watch,0.865,HYPE|BTC,buy_burst|oi_accumulation|one_sided_oi,hit,25,30,5,True,buy_burst,buy_burst on BTC at min 55 (magnitude=0.742)
659a4cba-22f5-4d18-a203-b9bdd226700c,"E2 positioning unwind: (HYPE,ETH) — one-sided OI build + crowding",positioning_unwind,research_priority,positioning_unwind_watch,0.7221,HYPE|ETH,buy_burst|oi_accumulation|one_sided_oi,partial,5,30,25,True,buy_burst,"Partial buy_burst on HYPE at min 35 (magnitude=0.635, below 70% threshold)"
615eb8ca-cc5c-4acb-a97a-db394dd6fdc3,"E2 positioning unwind: (HYPE,SOL) — one-sided OI build + crowding",positioning_unwind,research_priority,positioning_unwind_watch,0.7221,HYPE|SOL,buy_burst|oi_accumulation|one_sided_oi,partial,5,30,25,True,buy_burst,"Partial buy_burst on HYPE at min 35 (magnitude=0.635, below 70% threshold)"
092bd577-6225-4d55-b92a-ad917c63f6f1,"E2 positioning unwind: (HYPE,BTC) — one-sided OI build + crowding",positioning_unwind,research_priority,positioning_unwind_watch,0.6958,HYPE|BTC,buy_burst|oi_accumulation|one_sided_oi,hit,25,30,5,True,buy_burst,buy_burst on BTC at min 55 (magnitude=0.742)
7f8fa170-0673-4632-bbf7-6a88fc632fbd,"E2 positioning unwind: (HYPE,ETH) — one-sided OI build + crowding",positioning_unwind,research_priority,positioning_unwind_watch,0.6958,HYPE|ETH,buy_burst|oi_accumulation|one_sided_oi,partial,5,30,25,True,buy_burst,"Partial buy_burst on HYPE at min 35 (magnitude=0.635, below 70% threshold)"
d302a2cc-2ab1-498a-ae78-98a85191a19c,"E2 positioning unwind: (HYPE,SOL) — one-sided OI build + crowding",positioning_unwind,research_priority,positioning_unwind_watch,0.6958,HYPE|SOL,buy_burst|oi_accumulation|one_sided_oi,partial,5,30,25,True,buy_burst,"Partial buy_burst on HYPE at min 35 (magnitude=0.635, below 70% threshold)"
ac4f48ca-5878-4b48-995c-cf6e42ed2b5f,"E1 beta reversion: (BTC,SOL) — no funding shift, no OI expansion",beta_reversion,actionable_watch,beta_reversion_watch,0.8098,BTC|SOL,funding_extreme|buy_burst,hit,25,30,5,True,buy_burst,buy_burst on BTC at min 55 (magnitude=0.742)
fdf7cdc2-0cbe-4d4d-9422-929b62656c75,"E2 positioning unwind: (HYPE,BTC) — funding pressure regime",positioning_unwind,actionable_watch,positioning_unwind_watch,0.7896,HYPE|BTC,buy_burst|oi_accumulation|one_sided_oi,hit,25,30,5,True,buy_burst,buy_burst on BTC at min 55 (magnitude=0.742)
4829a693-dd85-43be-81ce-ec53452e49f5,"E2 positioning unwind: (HYPE,ETH) — funding pressure regime",positioning_unwind,research_priority,positioning_unwind_watch,0.6913,HYPE|ETH,buy_burst|oi_accumulation|one_sided_oi,partial,5,30,25,True,buy_burst,"Partial buy_burst on HYPE at min 35 (magnitude=0.635, below 70% threshold)"
cd990607-ee7c-4958-8174-2e3515e37728,"E2 positioning unwind: (HYPE,SOL) — funding pressure regime",positioning_unwind,research_priority,positioning_unwind_watch,0.6913,HYPE|SOL,buy_burst|oi_accumulation|one_sided_oi,partial,5,30,25,True,buy_burst,"Partial buy_burst on HYPE at min 35 (magnitude=0.635, below 70% threshold)"
