card_id,title,branch,decision_tier,watch_label,composite_score,assets_mentioned,expected_events,outcome_result,time_to_outcome_min,half_life_min,half_life_remaining_min,outcome_type_match,matched_event,outcome_detail
e3b67668-6f74-4288-843c-b7457ace3827,"Chain-D1 beta reversion: (HYPE,BTC) break, no flow evidence",beta_reversion,actionable_watch,beta_reversion_watch,0.7725,HYPE|BTC,funding_extreme|buy_burst,miss,,40,-40,False,,"No ['funding_extreme', 'buy_burst'] events for assets ['BTC', 'HYPE'] in outcome window [min 5040, min 5080]."
00cb9745-cc3c-4a37-b0af-ba918576191d,"Chain-D1 beta reversion: (HYPE,ETH) break, no flow evidence",beta_reversion,baseline_like,monitor_no_action,0.5846,HYPE|ETH,funding_extreme|buy_burst,miss,,90,-90,False,,"No ['funding_extreme', 'buy_burst'] events for assets ['ETH', 'HYPE'] in outcome window [min 5040, min 5130]."
1e08f0fa-2ca9-443d-b162-cc3a267ae9dd,"Chain-D1 beta reversion: (HYPE,SOL) break, no flow evidence",beta_reversion,baseline_like,monitor_no_action,0.5846,HYPE|SOL,funding_extreme|buy_burst,miss,,90,-90,False,,"No ['funding_extreme', 'buy_burst'] events for assets ['HYPE', 'SOL'] in outcome window [min 5040, min 5130]."
6b7b52d2-0848-4475-bf66-0b26f4528493,"Chain-D1 beta reversion: (BTC,ETH) break, no flow evidence",beta_reversion,baseline_like,monitor_no_action,0.5846,ETH|BTC,funding_extreme|buy_burst,miss,,90,-90,False,,"No ['funding_extreme', 'buy_burst'] events for assets ['BTC', 'ETH'] in outcome window [min 5040, min 5130]."
049bfc66-9ac1-4bcf-829f-d51896044c52,"Chain-D1 beta reversion: (BTC,SOL) break, no flow evidence",beta_reversion,baseline_like,monitor_no_action,0.5846,BTC|SOL,funding_extreme|buy_burst,miss,,90,-90,False,,"No ['funding_extreme', 'buy_burst'] events for assets ['BTC', 'SOL'] in outcome window [min 5040, min 5130]."
41a49632-38e5-402b-abee-c5d9fea13fb9,"Chain-D1 beta reversion: (ETH,SOL) break, no flow evidence",beta_reversion,baseline_like,monitor_no_action,0.5846,ETH|SOL,funding_extreme|buy_burst,miss,,90,-90,False,,"No ['funding_extreme', 'buy_burst'] events for assets ['ETH', 'SOL'] in outcome window [min 5040, min 5130]."
cd1c9583-7b6c-450e-b3f8-13131fe4e26e,"Correlation break (HYPE,BTC) — mean_reversion_candidate",other,research_priority,monitor_no_action,0.7185,HYPE|BTC,,expired,,50,-50,False,,Control card (no expected events); baseline reference.
2cc51003-6b62-48de-b22e-e910b92f75a5,"Correlation break (HYPE,ETH) — mean_reversion_candidate",other,baseline_like,monitor_no_action,0.5832,HYPE|ETH,,expired,,90,-90,False,,Control card (no expected events); baseline reference.
b8cecd34-9506-40b6-951e-3671d96573b7,"Correlation break (HYPE,SOL) — mean_reversion_candidate",other,baseline_like,monitor_no_action,0.5832,HYPE|SOL,,expired,,90,-90,False,,Control card (no expected events); baseline reference.
71d52ca2-de45-47b9-8467-c58e7f71a37b,"Correlation break (BTC,ETH) — mean_reversion_candidate",other,baseline_like,monitor_no_action,0.5832,ETH|BTC,,expired,,90,-90,False,,Control card (no expected events); baseline reference.
362675b4-ff12-4973-a5ed-a99c56671c7e,"Correlation break (BTC,SOL) — mean_reversion_candidate",other,baseline_like,monitor_no_action,0.5832,BTC|SOL,,expired,,90,-90,False,,Control card (no expected events); baseline reference.
fb08d62f-9515-429c-9065-3e110d945674,"Correlation break (ETH,SOL) — mean_reversion_candidate",other,baseline_like,monitor_no_action,0.5832,ETH|SOL,,expired,,90,-90,False,,Control card (no expected events); baseline reference.
70426cf9-e49a-41ea-aaec-8362f06f66ed,"Null baseline: (HYPE,BTC) — low followthrough, normalization expected",null_baseline,monitor_borderline,monitor_no_action,0.6487,HYPE|BTC,,expired,,60,-60,False,,Control card (no expected events); baseline reference.
324894b4-7ad6-4f37-89a4-3bb750983073,"Null baseline: (HYPE,ETH) — low followthrough, normalization expected",null_baseline,baseline_like,monitor_no_action,0.4832,HYPE|ETH,,expired,,90,-90,False,,Control card (no expected events); baseline reference.
feb6139e-5934-48ab-99e8-0bb06ae57e18,"Null baseline: (HYPE,SOL) — low followthrough, normalization expected",null_baseline,baseline_like,monitor_no_action,0.4832,HYPE|SOL,,expired,,90,-90,False,,Control card (no expected events); baseline reference.
086cba46-de63-47d6-abf1-250b88e613b2,"Null baseline: (BTC,ETH) — low followthrough, normalization expected",null_baseline,baseline_like,monitor_no_action,0.4832,ETH|BTC,,expired,,90,-90,False,,Control card (no expected events); baseline reference.
0e573164-a3a7-42d4-a3ed-a055546edc08,"Null baseline: (BTC,SOL) — low followthrough, normalization expected",null_baseline,baseline_like,monitor_no_action,0.4832,BTC|SOL,,expired,,90,-90,False,,Control card (no expected events); baseline reference.
921f3d0e-21c0-4a20-86ce-d29cb6013c4e,"Null baseline: (ETH,SOL) — low followthrough, normalization expected",null_baseline,baseline_like,monitor_no_action,0.4832,ETH|SOL,,expired,,90,-90,False,,Control card (no expected events); baseline reference.
